	lncRNA
3941	UBA6-AS1
3942	RP11-468N14.13
3943	RP11-704M14.1
3944	RP11-46J23.2
3945	RP11-46J23.1
3946	RP11-545L5.1
3947	RP11-373J21.1
3948	RP11-692D12.1
3949	LINC02499
3950	UMLILO
3951	RP11-19B4.2
3952	RP11-629B11.6
3953	RP11-629B11.5
3954	RP11-727M10.1
3955	AC142293.3
3956	RP11-506A18.2
3957	PARM1-AS1
3958	RP11-44F21.2
3959	LINC02562
3960	RP11-542G1.1
3961	RP11-542G1.2
3962	LINC02483
3963	RP11-567N4.2
3964	RP11-567N4.3
3965	RP11-556N4.1
3966	SDAD1-AS1
3967	RP11-628A4.1
3968	RP11-67M24.7
3969	SHROOM3-AS1
3970	RP11-359D14.3
3971	RP11-625I7.1
3972	LINC01094
3973	RP11-792D21.3
3974	RP11-109G23.3
3975	LINC01088
3976	LINC00989
3977	RP11-234K19.1
3978	LINC02469
3979	PCAT4
3980	RP11-377G16.2
3981	PRKG2-AS1
3982	RP11-127B20.2
3983	HNRNPD-DT
3984	LINC00575
3985	RP11-791G16.7
3986	THAP9-AS1
3987	RP11-429O22.1
3988	RP11-576N17.5
3989	RP11-767N15.1
3990	RP11-8L2.1
3991	RP11-42A4.1
3992	WDFY3-AS1
3993	WDFY3-AS2
3994	RP11-8N8.1
3995	MAPK10-AS1
3996	RP11-397E7.5
3997	RP11-529H2.1
3998	RP11-529H2.2
3999	RP11-710E1.2
4000	RP11-742B18.1
4001	CTD-2285E13.1
4002	PPM1K-DT
4003	RP11-10L7.4
4004	RP11-10L7.3
4005	PIGY-DT
4006	FAM13A-AS1
4007	RP11-84C13.2
4008	RP11-115D19.1
4009	RP11-582C12.1
4010	RP11-115D19.3
4011	RP11-115D19.4
4012	RP11-115D19.2
4013	SNCA-AS1
4014	RP11-350B19.1
4015	AC004054.1
4016	RP11-763F8.1
4017	RP11-254A24.2
4018	RP11-354O24.1
4019	RP11-562F9.4
4020	RP11-562F9.3
4021	LNCPRESS2
4022	RP11-9B6.1
4023	RP11-428L21.1
4024	RP11-703C10.1
4025	RP11-363G15.2
4026	RP11-398J16.3
4027	RP11-554D13.1
4028	BMPR1B-DT
4029	UNC5C-AS1
4030	LINC02267
4031	RP11-667L17.1
4032	RP11-431J17.1
4033	RP11-681L8.1
4034	STPG2-AS1
4035	RP11-323J4.1
4036	RP11-724M22.1
4037	RP11-1299A16.3
4038	RP11-571L19.7
4039	RP11-571L19.9
4040	RP11-571L19.8
4041	RP11-696N14.1
4042	RP11-766F14.1
4043	AP001962.3
4044	RP11-15B17.4
4045	H2AZ1-DT
4046	RP11-588P8.1
4047	RP11-13F20.1
4048	LINC01216
4049	LINC01217
4050	LINC01218
4051	FLJ20021
4052	RP11-68O1.1
4053	RP11-498M5.2
4054	RP11-499E18.1
4055	AF213884.2
4056	RP11-10L12.8
4057	UBE2D3-AS1
4058	LINC02428
4059	RP11-297P16.3
4060	RP11-297P16.4
4061	AC004047.1
4062	LINC02503
4063	RP11-729M20.1
4064	CXXC4-AS1
4065	AC004063.1
4066	RP11-556I14.2
4067	RP11-556I14.1
4068	AC004069.2
4069	TET2-AS1
4070	AC004066.3
4071	ARHGEF38-IT1
4072	GSTCD-AS1
4073	RP11-710F7.2
4074	RP11-710F7.3
4075	LINC02173
4076	AC003099.2
4077	RP11-713M6.2
4078	CYP2U1-AS1
4079	RP11-286E11.2
4080	LEF1-AS1
4081	RPL34-DT
4082	RP11-348N12.2
4083	COL25A1-DT
4084	SEC24B-AS1
4085	AC004067.5
4086	GAR1-DT
4087	RP11-380D23.1
4088	PANCR
4089	LINC01438
4090	RP11-621B23.1
4091	RP11-255I10.2
4092	RP11-269F21.1
4093	RP11-269F21.3
4094	AC004704.1
4095	AC004704.2
4096	RP11-73K9.2
4097	RP11-73K9.3
4098	NEUROG2-AS1
4099	MIR302CHG
4100	RP11-148B6.2
4101	RP11-119H12.6
4102	ANK2-AS1
4103	RP11-650J17.2
4104	RP11-26P13.2
4105	RP11-55L3.1
4106	RP11-97F8.3
4107	RP11-97F8.4
4108	RP11-97F8.2
4109	RP11-46H14.1
4110	LINC02262
4111	LINC02263
4112	LINC01378
4113	RP11-510D4.1
4114	LINC02264
4115	SNHG8
4116	METTL14-DT
4117	RP11-33B1.4
4118	RP11-33B1.3
4119	RP11-785J10.2
4120	LINC01365
4121	LINC02502
4122	RP11-96A1.5
4123	RP11-679C8.2
4124	RP11-501E14.1
4125	RP11-647P12.1
4126	PP12613
4127	BBS7-DT
4128	IL21-AS1
4129	RP11-804C24.1
4130	RP11-170N16.3
4131	CTB-51E13.2
4132	RP11-381N20.2
4133	LINC02435
4134	LINC01091
4135	AC096732.2
4136	RP11-728C8.2
4137	CTD-2325B11.1
4138	RP11-472A1.2
4139	LINC02516
4140	RP11-399F2.2
4141	LINC02379
4142	RP11-719N9.1
4143	RP11-810P8.1
4144	RP11-125O18.1
4145	RP11-125O18.2
4146	RP11-18O11.3
4147	RP11-50D9.3
4148	LINC02615
4149	RP11-130C6.1
4150	RP11-184M15.1
4151	RP11-184M15.2
4152	JADRR
4153	RP11-419L4.1
4154	RP11-419L4.2
4155	LINC02466
4156	LINC02465
4157	LINC02479
4158	RP11-401I19.2
4159	RP11-401I19.1
4160	LINC02377
4161	SNHG27
4162	RP11-745L13.2
4163	RP11-789C2.1
4164	RP11-1E22.1
4165	RP11-62N21.1
4166	LINC01256
4167	RP11-404I7.2
4168	RP11-404I7.1
4169	RP11-9G1.3
4170	RP11-335K21.1
4171	RP11-427M20.1
4172	RP11-400D2.2
4173	RP11-625A6.1
4174	LINC02462
4175	CTD-2012I17.1
4176	RP11-192C21.2
4177	RP11-553P9.2
4178	LINC02485
4179	RP11-780O17.1
4180	LINC00613
4181	RP11-775H9.3
4182	RP11-775H9.2
4183	RP11-775H9.1
4184	RP11-625B21.1
4185	LINC02511
4186	LINC02510
4187	LINC02172
4188	RP13-884E18.3
4189	RP13-884E18.2
4190	RP13-884E18.4
4191	RP11-793B23.2
4192	RP11-793B23.1
4193	RP11-8P17.2
4194	LINC00616
4195	SLC7A11-AS1
4196	RP11-733C7.1
4197	LINC00498
4198	LINC00499
4199	LINC00500
4200	RP11-173E2.2
4201	RP11-98O2.1
4202	RP11-371F15.3
4203	RP11-577B7.1
4204	RAB33B-AS1
4205	RP11-342I1.2
4206	RP11-308D13.5
4207	RP11-308D13.3
4208	RP11-342I1.3
4209	RP11-392B6.1
4210	SCOC-AS1
4211	RP11-542P2.2
4212	RP11-5K16.4
4213	RP11-102N12.2
4214	RP11-102N12.3
4215	RP11-586L23.1
4216	LINC02432
4217	RP11-362F19.3
4218	LINC02276
4219	RP11-223C24.2
4220	RP11-223C24.1
4221	RP11-284M14.1
4222	RP11-364L4.3
4223	RP11-364L4.4
4224	SMARCA5-AS1
4225	RP11-673E1.1
4226	RP11-673E1.5
4227	RP11-1289C17.1
4228	RP11-361D14.2
4229	HHIP-AS1
4230	RP13-539F13.3
4231	LINC02266
4232	RP11-142A22.3
4233	RP11-301H24.5
4234	SMAD1-AS2
4235	SMAD1-AS1
4236	RP11-557J10.4
4237	RP11-181K12.1
4238	RP11-181K12.2
4239	RP11-203B7.2
4240	LINC01095
4241	RP11-6L6.4
4242	RP11-6L6.6
4243	RP11-6L6.7
4244	RP11-292D4.2
4245	RP11-292D4.1
4246	RP11-292D4.3
4247	RP11-292D4.4
4248	CTD-2172F7.1
4249	RP11-752L20.3
4250	LINC02507
4251	RP11-425A23.1
4252	RP11-76G10.1
4253	RP11-563M4.2
4254	RP11-503L19.1
4255	RP11-360A10.1
4256	CTB-191D16.1
4257	RP11-563M4.1
4258	LINC02430
4259	LINC02355
4260	RP11-812F18.1
4261	RP11-707F2.1
4262	RP11-423J7.1
4263	RP11-423J7.2
4264	RP11-1336O20.2
4265	RP11-372K14.2
4266	RP11-731D1.4
4267	FAM160A1-DT
4268	RP11-164P12.3
4269	RP11-424M21.1
4270	RP11-503L23.2
4271	RP11-503L23.1
4272	RP11-73G16.3
4273	RP11-73G16.2
4274	RP11-73G16.4
4275	RP11-73G16.1
4276	RP11-73G16.5
4277	LINC02273
4278	RP11-18H21.5
4279	RP11-18H21.2
4280	RP11-18H21.3
4281	RP11-461L13.4
4282	RP11-461L13.5
4283	FBXW7-AS1
4284	RP11-555K12.4
4285	MIR4453HG
4286	RP11-768B22.2
4287	RP11-206F17.3
4288	RP11-285C1.2
4289	RP11-153M7.6
4290	RP11-153M7.5
4291	RP11-290O12.2
4292	RP11-9N12.2
4293	RP11-9N12.3
4294	RP11-21G20.3
4295	AC097467.2
4296	RP11-92A5.2
4297	RP11-27G13.1
4298	RP11-627H22.12
4299	RP13-487K5.1
4300	RP11-588K22.2
4301	RP11-171N4.1
4302	LINC02272
4303	RP11-171N4.3
4304	RP11-171N4.4
4305	RP11-154F14.2
4306	RP11-154F14.3
4307	RP11-612J15.1
4308	RP11-364P22.4
4309	LINC02433
4310	RP11-364P22.2
4311	RP11-364P22.3
4312	RP11-312A15.5
4313	RP11-312A15.4
4314	RP11-312A15.2
4315	RP11-597D13.1
4316	RP11-597D13.2
4317	FAM198B-AS1
4318	RP11-597D13.11
4319	RP11-597D13.8
4320	RP11-597D13.12
4321	RP11-781M16.2
4322	RP11-138A23.2
4323	LINC02233
4324	LINC02477
4325	RP11-234O6.2
4326	RP11-497K21.1
4327	AC005150.1
4328	RP11-402D23.1
4329	RP11-563E2.2
4330	RP11-218F10.3
4331	RP11-366M4.20
4332	FAM218A
4333	RP11-366M4.13
4334	RP11-511B7.2
4335	LINC01179
4336	RP11-217C7.1
4337	RP11-436A7.1
4338	RP11-310I9.1
4339	RP11-310I9.2
4340	PALLD-AS1
4341	RP11-635L1.3
4342	RP11-635L1.2
4343	RP11-483A20.3
4344	RP11-327O17.2
4345	RP11-613O14.1
4346	RP11-205M3.5
4347	RP11-205M3.6
4348	LINC02275
4349	RP11-205M3.4
4350	RP11-6E9.5
4351	RP11-6E9.4
4352	LINC01612
4353	LINC02512
4354	LINC02382
4355	RP11-344G13.3
4356	LINC02431
4357	LINC02504
4358	RP11-784D7.1
4359	LINC02174
4360	RP11-97E7.1
4361	RP11-10K16.1
4362	RP11-798M19.3
4363	SAP30-DT
4364	RP11-489G11.6
4365	RP11-489G11.5
4366	RP11-489G11.3
4367	RP11-489G11.4
4368	HAND2-AS1
4369	LINC02269
4370	RP11-161D15.2
4371	RP11-161D15.3
4372	LINC02268
4373	RP11-248N22.1
4374	RP11-248N22.2
4375	RP11-51M24.1
4376	RP11-440I14.3
4377	RP13-577H12.2
4378	RP11-391J13.2
4379	RP11-287F9.2
4380	RP11-598D14.1
4381	RP11-806K15.1
4382	SPCS3-AS1
4383	RP11-313E19.2
4384	RP11-624A4.2
4385	RP11-624A4.1
4386	LINC02509
4387	RP11-487E13.1
4388	RP11-376O6.2
4389	RP11-130F10.1
4390	RP11-140M13.1
4391	LINC01098
4392	LINC01099
4393	RP11-404J23.1
4394	RP11-774G5.2
4395	RP11-396I22.1
4396	RP11-460H9.1
4397	LINC00290
4398	LINC02500
4399	RP11-433O3.2
4400	RP11-537K6.1
4401	TEMN3-AS1
4402	TENM3-AS1
4403	RP11-402C9.1
4404	RP11-18D7.3
4405	RP11-18D7.2
4406	RP11-713K18.1
4407	RP11-188P17.2
4408	RP11-335L23.6
4409	RP11-335L23.4
4410	RP11-335L23.5
4411	WWC2-AS2
4412	WWC2-AS1
4413	RP11-367N14.2
4414	RP11-367N14.3
4415	RP11-499F19.4
4416	RP11-499F19.3
4417	RP11-739P1.2
4418	RP11-739P1.3
4419	RP11-616K6.3
4420	LINC02363
4421	LINC02362
4422	RP11-326I11.5
4423	IRF2-DT
4424	RP11-326I11.7
4425	LINC02427
4426	LINC02365
4427	RP11-701P16.2
4428	RP11-701P16.6
4429	MIR3945HG
4430	LINC01093
4431	RP11-517M22.1
4432	LINC02437
4433	LINC02436
4434	RP11-386B13.5
4435	RP11-714G18.1
4436	RP11-279O9.4
4437	RP11-301L8.2
4438	RP11-626E13.1
4439	RP11-45I20.1
4440	FLJ38576
4441	F11-AS1
4442	RP11-40L7.2
4443	RP11-182A9.1
4444	RP11-11N5.1
4445	RP11-11N5.3
4446	RP11-217E13.1
4447	RP11-696F12.1
4448	RP11-308K2.2
4449	LINC02374
4450	RP11-138B4.1
4451	LINC02514
4452	LINC02515
4453	RP11-237D3.1
4454	LINC02492
4455	RP11-565A3.1
4456	RP11-713C19.5
4457	RP11-366H4.3
4458	LINC02434
4459	LINC01060
4460	RP11-756P10.6
4461	RP11-756P10.4
4462	LINC02508
4463	RP11-756P10.2
4464	RP11-818C3.1
4465	RP11-706F1.1
4466	RP11-706F1.2
4467	LINC01262
4468	RP11-462G22.2
4469	FRG1-DT
4470	LINC01596
4471	DBET
4472	CTD-2083E4.7
4473	CTD-2083E4.4
4474	CTD-2083E4.6
4475	EXOC3-AS1
4476	PP7080
4477	SLC9A3-AS1
4478	RP11-310P5.2
4479	RP11-310P5.1
4480	CTD-2589H19.6
4481	RP11-661C8.4
4482	RP11-661C8.2
4483	RP11-661C8.3
4484	RP11-43F13.3
4485	RP11-43F13.4
4486	CTD-3080P12.3
4487	CTD-3080P12.4
4488	RP11-325I22.4
4489	LINC01511
4490	RP11-325I22.3
4491	CTD-2245E15.3
4492	CTD-2012J19.3
4493	CTD-2012J19.4
4494	CTD-2587M23.1
4495	CTD-2194D22.1
4496	LINC02116
4497	CTD-2194D22.5
4498	IRX4-AS1
4499	CTD-2194D22.4
4500	RP11-259O2.4
4501	RP11-259O2.1
4502	RP11-259O2.2
4503	RP11-259O2.3
4504	LSINCT5
4505	RP11-129I19.2
4506	C5orf38
4507	RP11-468D11.1
4508	RP11-35O7.1
4509	LINC01377
4510	LINC01019
4511	LINC02162
4512	LINC01017
4513	CTD-2012M11.3
4514	CTD-2287N17.1
4515	CTD-2383I20.1
4516	LINC02063
4517	RP11-445O3.3
4518	RP11-445O3.2
4519	RP11-445O3.1
4520	CTD-2318H23.1
4521	LINC02114
4522	CTD-2161F6.2
4523	CTD-2046I8.1
4524	CTD-2247C11.2
4525	CTD-2247C11.1
4526	LINC01020
4527	CTD-2247C11.4
4528	LINC02121
4529	CTD-2297D10.2
4530	CTD-2297D10.1
4531	RP11-531A21.6
4532	CTD-2350M8.1
4533	CTC-471C19.1
4534	CTC-471C19.2
4535	CTD-2299N12.1
4536	LINC02145
4537	RP11-810C16.2
4538	LINC01018
4539	LINC02102
4540	LINC02236
4541	RP11-332J15.4
4542	LINC02196
4543	RP11-332J15.2
4544	CTD-2159L10.1
4545	RP11-122F24.2
4546	RP11-404K5.5
4547	CTD-2296D1.1
4548	LINC02123
4549	CTD-2296D1.3
4550	CTD-2296D1.4
4551	LINC02142
4552	RP11-711G10.1
4553	CTD-2072I24.1
4554	RP11-731L3.1
4555	RP11-334G8.1
4556	RP11-215I16.2
4557	RP11-215I16.3
4558	LINC02226
4559	RP11-480D4.2
4560	RP11-480D4.6
4561	MIR4458HG
4562	RP11-480D4.7
4563	RP11-417J1.1
4564	RP11-417J1.5
4565	RP11-417J1.6
4566	RP11-417J1.7
4567	RP11-417J1.8
4568	RP11-417J1.4
4569	RP11-315A16.2
4570	RP11-315A16.3
4571	RP11-315A16.1
4572	RP11-315A16.4
4573	LINC02199
4574	RP11-143A12.1
4575	CTD-2215L10.1
4576	CTD-2201E9.4
4577	CTD-2201E9.3
4578	SEMA5A-AS1
4579	CTD-2201E9.2
4580	SNHG18
4581	CTD-2001E22.1
4582	LINC02112
4583	CTD-2105K20.1
4584	LINC02221
4585	RP11-191F9.4
4586	RP11-191F9.2
4587	RP11-191F9.3
4588	RP11-191F9.1
4589	CTD-2199O4.1
4590	CTD-2199O4.4
4591	CTD-2199O4.5
4592	CTD-2199O4.3
4593	CTD-2199O4.7
4594	CTD-2199O4.6
4595	CTD-2256P15.1
4596	CTD-2256P15.4
4597	CTD-2256P15.5
4598	CTD-2256P15.3
4599	CTD-2256P15.2
4600	ROPN1L-AS1
4601	LINC01513
4602	RP11-1C1.6
4603	LINC02212
4604	LINC02213
4605	RP11-54F2.9
4606	RP11-54F2.8
4607	ANKRD33B-AS1
4608	CTD-2154B17.3
4609	CTD-2154B17.2
4610	DAP-DT
4611	CTD-2154B17.1
4612	RP11-308B16.2
4613	LINC01194
4614	LINC02220
4615	CTC-305H11.1
4616	CTB-51A17.1
4617	CTC-250P22.2
4618	OTULIN-DT
4619	CTD-2335I23.3
4620	ANKH-DT
4621	CTB-40H15.5
4622	LINC02149
4623	CTD-2313D3.2
4624	CTD-2350J17.1
4625	MARCHF11-AS1
4626	RP11-19O2.2
4627	LINC02150
4628	RP1-167G20.2
4629	RP11-260E18.1
4630	CTC-461F20.1
4631	BASP1-AS1
4632	CTD-2228A4.1
4633	CTD-2139B15.2
4634	CTD-2139B15.5
4635	LINC02111
4636	LINC02217
4637	LINC02223
4638	LINC02100
4639	RP11-124N3.3
4640	RP11-124N3.2
4641	CDH18-AS1
4642	LINC02146
4643	LINC02241
4644	RP11-774D14.2
4645	RP11-374A4.1
4646	RP11-823P9.4
4647	RP11-360I2.1
4648	RP11-804N13.1
4649	RP11-855C21.1
4650	RP11-1330D14.1
4651	RP11-329N11.1
4652	CTD-2234B20.1
4653	C5orf17
4654	CTD-2015B23.3
4655	CTD-2074D8.1
4656	CTD-2074D8.2
4657	RP11-116O11.1
4658	RP11-12P19.4
4659	RP11-12P19.3
4660	LINC02239
4661	RP11-730N24.2
4662	LINC02228
4663	LINC02211
4664	RP11-549K20.2
4665	RP11-192H6.2
4666	RP11-184E9.2
4667	RP11-184E9.3
4668	CTD-2306M5.1
4669	RP11-184E9.4
4670	CTD-2026A21.1
4671	RP11-124O5.2
4672	RP11-351N6.1
4673	RP11-351N6.2
4674	CTD-2533K21.4
4675	PURPL
4676	CTD-3007L5.1
4677	LINC02103
4678	CTD-2134P3.1
4679	RP11-398J12.1
4680	LINC02109
4681	CTD-2118P12.3
4682	LINC02064
4683	CTD-2351A16.1
4684	CTD-2195H9.1
4685	RP11-775H7.1
4686	RP11-152K4.2
4687	CTD-2008E3.1
4688	RP11-5N11.2
4689	RP11-5N11.3
4690	RP11-5N11.4
4691	RP11-5N11.5
4692	RP11-5N11.6
4693	RP11-5N11.7
4694	CTD-2152M20.2
4695	GOLPH3-DT
4696	LINC02061
4697	CTD-2004A9.2
4698	CTD-2066L21.3
4699	LINC02120
4700	CTD-2066L21.1
4701	CTD-2066L21.2
4702	LINC02160
4703	CTD-2203K17.1
4704	CTD-2233C11.2
4705	RP11-1250I15.2
4706	RP11-1250I15.1
4707	RP11-1250I15.3
4708	RP11-1108I11.1
4709	CTD-2024P10.2
4710	CTD-2024P10.1
4711	TTC23L-AS1
4712	CTD-2113L7.1
4713	RP11-79C6.2
4714	RP11-79C6.3
4715	NADK2-AS1
4716	CTD-2009F3.1
4717	CTD-2282P23.2
4718	CTD-2353F22.1
4719	CTD-2653M23.3
4720	NIPBL-DT
4721	CTD-2124B8.3
4722	GDNF-AS1
4723	LINC02117
4724	CTD-2194L12.3
4725	LINC02110
4726	CTD-2130F23.1
4727	LINC02119
4728	EGFLAM-AS4
4729	EGFLAM-AS3
4730	EGFLAM-AS2
4731	EGFLAM-AS1
4732	CTD-2263F21.1
4733	LIFR-AS1
4734	CTD-2196P11.2
4735	OSMR-AS1
4736	RP11-122C5.3
4737	CTD-2360A17.3
4738	LINC02104
4739	LINC00603
4740	LINC00604
4741	RP11-209B12.1
4742	RP11-386E5.1
4743	RP11-49C20.1
4744	RP11-49C20.2
4745	CTD-2062O1.4
4746	OXCT1-AS1
4747	RP11-112L7.1
4748	CTD-2325A15.5
4749	CTD-2201E18.6
4750	CTD-2201E18.8
4751	CTD-2201E18.7
4752	CTD-2201E18.5
4753	CTD-2201E18.3
4754	CTD-2035E11.3
4755	CTD-2035E11.4
4756	AC025171.1
4757	CTD-2035E11.5
4758	CTD-2636A23.2
4759	RP11-159F24.3
4760	C5orf34-AS1
4761	RP11-159F24.5
4762	NNT-AS1
4763	CTD-2210P15.3
4764	RP11-8L21.1
4765	FGF10-AS1
4766	LINC02224
4767	RP11-503D12.1
4768	MRPS30-DT
4769	RP11-53O19.2
4770	RP11-53O19.3
4771	RP11-357F12.1
4772	RP11-357F12.2
4773	CTD-2013M15.1
4774	RP11-269M20.3
4775	RP11-317O24.1
4776	RP11-317O24.2
4777	CTD-2089N3.1
4778	LINC02106
4779	CTD-2089N3.3
4780	CTD-2314G24.2
4781	CTD-2335O3.4
4782	CTD-2335O3.3
4783	RP11-182I21.2
4784	LINC02118
4785	CTD-2288O8.1
4786	CTD-2288O8.3
4787	CTD-2175A23.1
4788	CTD-2366F13.3
4789	CTD-2366F13.2
4790	CTD-2366F13.1
4791	CTD-2143A15.1
4792	LINC02105
4793	CTD-2081C10.7
4794	CTD-2081C10.8
4795	CTD-2081C10.5
4796	LINC01033
4797	CTD-2591A1.1
4798	CTD-2591A1.2
4799	RP11-45H22.3
4800	CTD-2313F11.1
4801	CTD-2313F11.2
4802	CTD-2313F11.3
4803	RP11-506H20.1
4804	CTD-2315M5.2
4805	CTD-2031P19.5
4806	CTD-2227I18.1
4807	FLJ31104
4808	RP11-155L15.1
4809	LINC01948
4810	CTC-236F12.5
4811	C5orf67
4812	AC022431.3
4813	AC008940.1
4814	AC008937.2
4815	AC008937.3
4816	CTD-2310F14.1
4817	AC016644.1
4818	CTD-2023N9.1
4819	LINCR-0003
4820	RP11-772C9.2
4821	RP11-772C9.1
4822	LINC02225
4823	LINC02101
4824	CTD-2037L6.3
4825	LINC02108
4826	RP11-479O16.1
4827	CTD-2176I21.2
4828	RP11-266N13.2
4829	CTD-2254N19.1
4830	PART1
4831	RP11-109B6.3
4832	ERCC8-AS1
4833	CTC-436P18.4
4834	SMIM15-AS1
4835	LINC02057
4836	C5orf64
4837	RP11-2O17.2
4838	C5orf64-AS1
4839	CTD-2244C20.2
4840	CTC-531G16.1
4841	RP11-158J3.2
4842	RP11-307L14.1
4843	RP11-307L14.2
4844	CTD-2116N20.1
4845	ERBIN-DT
4846	CTD-2033C11.2
4847	AC025442.4
4848	AC025442.3
4849	LINC02065
4850	RP11-305P14.1
4851	RP11-305P14.2
4852	LINC02229
4853	MAST4-IT1
4854	MAST4-AS1
4855	CTD-2187J20.1
4856	CTC-352D11.1
4857	RP11-434D9.1
4858	RP11-357D18.1
4859	LINC02242
4860	RP11-83M16.6
4861	RP11-434D9.2
4862	LINC02219
4863	CTD-2582M21.1
4864	CTC-537E7.3
4865	CTC-537E7.2
4866	CTC-537E7.1
4867	CTC-340D7.1
4868	RP11-141O11.1
4869	LINC02198
4870	CTC-498J12.1
4871	CTC-498J12.3
4872	CTC-351M12.1
4873	RP11-241G9.3
4874	AC140134.2
4875	RP11-497H16.9
4876	RP11-974F13.3
4877	LINC02197
4878	RP11-136K7.3
4879	RP11-136K7.1
4880	CTD-2292N2.1
4881	RP11-389C8.2
4882	LINC02056
4883	CTC-347C20.1
4884	CTD-2631K10.1
4885	CTD-2376I4.1
4886	FCHO2-DT
4887	RP11-232L2.2
4888	RP11-232L2.3
4889	RP11-60A8.1
4890	LINC02230
4891	FOXD1-AS1
4892	LINC01385
4893	LINC01386
4894	BTF3-DT
4895	CTC-575I10.1
4896	RP11-428C6.2
4897	LINC02122
4898	LINC01331
4899	LINC01335
4900	LINC01333
4901	LINC01332
4902	CTD-2377O17.1
4903	CTD-2503O16.5
4904	CTD-2503O16.4
4905	CTD-2235C13.2
4906	CTC-366B18.2
4907	CTC-366B18.4
4908	CTC-235G5.3
4909	RP11-466P24.6
4910	CTD-2236F14.1
4911	CTD-2384B11.2
4912	CTC-564N23.2
4913	ZBED3-AS1
4914	RP11-107N7.1
4915	RP11-107N7.2
4916	SCAMP1-AS1
4917	CTC-431G16.2
4918	CTC-431G16.4
4919	LINC01455
4920	THBS4-AS1
4921	CTC-458I2.2
4922	CTD-2015H6.3
4923	LINC01337
4924	CTC-325J23.2
4925	RASGRF2-AS1
4926	CTD-2193P3.2
4927	CKMT2-AS1
4928	CTD-2093G19.1
4929	CTD-2249K22.3
4930	CTD-2249K22.1
4931	ATG10-IT1
4932	ATG10-AS1
4933	CTD-2015A6.1
4934	CTD-2015A6.2
4935	CTD-2218K11.2
4936	LINC01338
4937	RP11-78C3.1
4938	CTD-2227C6.3
4939	CTD-2227C6.2
4940	RP11-343L5.2
4941	VCAN-AS1
4942	EDIL3-DT
4943	CTC-384G19.1
4944	RP11-1072N2.3
4945	CTD-2331D11.2
4946	CTD-2331D11.3
4947	CTD-2331D11.4
4948	CTC-480C2.1
4949	CTD-2036A18.2
4950	CTD-2123J17.2
4951	CTC-261N6.3
4952	CTC-261N6.1
4953	CTC-261N6.2
4954	LINC02059
4955	CTC-493L21.2
4956	RP11-72L22.1
4957	MIR4280HG
4958	LINC01949
4959	CTC-428H11.2
4960	LINC02488
4961	LINC02144
4962	AC020930.1
4963	CTD-2297M2.1
4964	TMEM161B-AS1
4965	LINC02060
4966	CTC-498M16.4
4967	LINC00461
4968	MEF2C-AS2
4969	CTC-467M3.3
4970	CTC-467M3.2
4971	MEF2C-AS1
4972	CTD-2232E5.2
4973	LINC02161
4974	AC113167.2
4975	LINC01339
4976	RP11-61G23.2
4977	CTD-2373J6.1
4978	CTD-2373J6.2
4979	LUCAT1
4980	CTD-2266L18.2
4981	RP11-414H23.2
4982	RP11-414H23.3
4983	RP11-213H15.1
4984	RP11-213H15.5
4985	CTD-2061E19.6
4986	ARRDC3-AS1
4987	RP11-543L14.2
4988	RP11-348J24.1
4989	RP11-133F8.2
4990	CTC-529L17.1
4991	CTC-529L17.2
4992	CTC-458G6.4
4993	LINC02058
4994	CTD-2091N23.1
4995	CTC-424O20.1
4996	NR2F1-AS1
4997	RP11-65F13.3
4998	RP11-65F13.4
4999	RP11-185E12.2
5000	RP11-20O13.1
5001	RP11-549J18.1
5002	RP11-69G16.2
5003	CTC-303L1.2
5004	CTC-484P3.3
5005	MCTP1-AS1
5006	CTD-2154I11.2
5007	AC008592.4
5008	LINC01554
5009	AC008592.8
5010	AC008592.5
5011	CTD-2337A12.1
5012	AC008592.7
5013	MIR583HG
5014	RP11-254I22.3
5015	RP11-254I22.2
5016	CTC-506B8.1
5017	CTD-2260A17.1
5018	CTD-2260A17.3
5019	CTD-2260A17.2
5020	LIX1-AS1
5021	CTD-2215E18.4
5022	CTD-2215E18.2
5023	CTD-2215E18.3
5024	LINC01340
5025	CTD-2282K12.1
5026	LINC02234
5027	LINC01846
5028	RGMB-AS1
5029	CTC-463N11.4
5030	LINC02062
5031	LINC02113
5032	RP11-346J10.1
5033	CTD-2001C12.1
5034	CTC-293G12.1
5035	CTD-2333K2.1
5036	RP11-58B2.1
5037	LINC00492
5038	LINC00491
5039	CTD-2340E1.2
5040	CTC-439N6.1
5041	CTC-503K11.2
5042	CTD-2154H6.1
5043	LINC02115
5044	CTC-445B21.1
5045	LINC02163
5046	RP11-6N13.1
5047	RP11-313L6.2
5048	RP11-6N13.4
5049	CTD-2374C24.1
5050	LINC01950
5051	RP11-252I13.2
5052	CTC-352J10.1
5053	LINC01023
5054	CTD-2197I11.1
5055	CTD-2587M2.2
5056	CTD-2587M2.1
5057	RP11-231G15.2
5058	RP11-231G15.3
5059	RP11-231G15.1
5060	MAN2A1-DT
5061	LINC01848
5062	CTC-551A13.1
5063	CTC-551A13.2
5064	AC010468.2
5065	CTC-499J9.1
5066	STARD4-AS1
5067	NREP-AS1
5068	EPB41L4A-AS1
5069	CTC-459M5.1
5070	CTC-459M5.2
5071	RP11-526F3.1
5072	EPB41L4A-DT
5073	LINC02200
5074	CTD-2201G3.1
5075	RP11-103P4.1
5076	RP11-492A10.1
5077	LINC01957
